Data,Região,Produto,Quantidade,Preço Unitário,Custo Unitário,Lucro Bruto
2023-01-22,Sul,Teclado,16,3826.03,603.57,51559.36
2023-01-22,Nordeste,Monitor,4,4586.01,2006.97,10316.16
2023-01-23,Sudeste,Carregador,3,764.9,226.99,1613.73
2023-01-23,Nordeste,Notebook,14,2907.67,272.09,36898.119999999995
2023-01-24,Norte,Teclado,13,4198.76,71.82,53650.22000000001
2023-01-24,Nordeste,Teclado,6,4851.19,2863.72,11924.82
2023-01-24,Sul,Notebook,1,2881.77,1796.78,1084.99
2023-01-24,Nordeste,Notebook,9,4955.87,2176.88,25010.909999999996
2023-01-25,Sudeste,Fone de Ouvido,19,3729.73,518.27,61017.74
2023-01-25,Norte,Notebook,16,2896.1,2219.14,10831.36
2023-01-25,Nordeste,Carregador,17,4083.59,2008.72,35272.79
2023-01-25,Norte,Carregador,6,2960.87,316.55,15865.919999999998
2023-01-26,Sul,Teclado,5,1630.63,1213.51,2085.6000000000004
2023-01-26,Centro-Oeste,Carregador,17,3753.32,2115.87,27836.650000000005
2023-01-26,Sul,Teclado,3,4229.61,1586.98,7927.889999999999
2023-01-26,Sul,Fone de Ouvido,13,838.57,480.56,4654.130000000001
2023-01-26,Sul,Notebook,10,3791.57,2244.46,15471.100000000002
2023-01-27,Norte,Smartphone,5,3636.82,1000.55,13181.350000000002
2023-01-27,Norte,Teclado,15,4029.52,1757.79,34075.95
2023-01-28,Centro-Oeste,Mouse,12,3181.7,1024.06,25891.68
2023-01-28,Sudeste,Smartphone,1,4680.21,1929.43,2750.7799999999997
2023-01-28,Sudeste,Carregador,17,1126.44,1079.71,794.4100000000003
2023-01-28,Sul,Carregador,12,3805.26,992.07,33758.28
2023-01-28,Nordeste,Smartphone,9,2873.77,2136.06,6639.39
2023-01-28,Sudeste,Fone de Ouvido,1,1611.96,1325.09,286.8700000000001
2023-01-28,Sul,Fone de Ouvido,14,4775.6,2507.66,31751.160000000007
2023-01-28,Sudeste,Carregador,19,4533.69,403.92,78465.62999999999
2023-01-29,Sudeste,Carregador,1,1809.53,692.65,1116.88
2023-01-29,Sudeste,Smartphone,14,1110.79,1020.26,1267.4199999999996
2023-01-29,Norte,Monitor,14,1716.54,1581.02,1897.2799999999997
2023-01-29,Nordeste,Fone de Ouvido,2,4140.67,98.04,8085.26
2023-01-29,Nordeste,Carregador,12,1348.73,283.19,12786.48
2023-01-29,Sudeste,Mouse,10,384.39,306.05,783.3999999999997
2023-01-29,Nordeste,Monitor,2,4817.77,930.54,7774.460000000001
2023-01-29,Sul,Mouse,8,4493.93,2181.41,18500.160000000003
2023-01-30,Nordeste,Notebook,15,4682.56,486.86,62935.500000000015
2023-01-30,Sudeste,Monitor,19,2885.69,782.0,39970.11
2023-01-30,Centro-Oeste,Fone de Ouvido,12,2577.32,2028.42,6586.800000000001
2023-01-30,Centro-Oeste,Carregador,1,4170.31,1852.25,2318.0600000000004
2023-01-30,Sudeste,Teclado,6,4280.45,1515.47,16589.879999999997
2023-01-31,Centro-Oeste,Teclado,2,2616.83,2050.33,1133.0
2023-01-31,Sul,Fone de Ouvido,9,3645.47,1492.33,19378.26
2023-01-31,Nordeste,Fone de Ouvido,12,682.33,35.96,7756.4400000000005
2023-01-31,Sudeste,Notebook,14,4933.11,1333.96,50388.09999999999
2023-01-31,Sudeste,Carregador,9,3489.21,261.72,29047.409999999996
2023-01-31,Nordeste,Teclado,17,3178.19,2880.79,5055.800000000001
2023-01-31,Centro-Oeste,Fone de Ouvido,6,3148.21,1760.12,8328.54
2023-02-01,Centro-Oeste,Mouse,14,2274.93,1363.82,12755.539999999999
2023-02-01,Norte,Notebook,8,3569.56,2245.06,10596.0
2023-02-01,Nordeste,Notebook,5,2031.88,1918.61,566.350000000001
2023-02-01,Sul,Mouse,11,3936.21,2493.07,15874.539999999999
2023-02-01,Centro-Oeste,Mouse,11,3856.3,1848.84,22082.06
2023-02-02,Nordeste,Fone de Ouvido,2,3734.85,1063.05,5343.6
2023-02-02,Norte,Carregador,8,1363.37,237.17,9009.599999999999
2023-02-02,Sudeste,Smartphone,10,3265.15,2550.6,7145.500000000002
2023-02-02,Centro-Oeste,Smartphone,12,1826.73,1456.16,4446.839999999999
2023-02-02,Centro-Oeste,Fone de Ouvido,1,3006.36,395.09,2611.27
2023-02-03,Sudeste,Teclado,11,1658.71,1483.52,1927.0900000000006
2023-02-03,Norte,Monitor,5,2298.43,154.4,10720.149999999998
2023-02-03,Centro-Oeste,Mouse,2,2711.78,43.73,5336.1
2023-02-03,Nordeste,Fone de Ouvido,14,4535.25,1439.4,43341.9
2023-02-04,Sul,Carregador,6,3310.18,1655.46,9928.32
2023-02-04,Nordeste,Mouse,5,4944.75,1842.28,15512.350000000002
2023-02-04,Sudeste,Notebook,18,1272.76,1168.21,1881.8999999999992
2023-02-04,Centro-Oeste,Carregador,13,2504.88,1040.62,19035.380000000005
2023-02-04,Sul,Carregador,6,2777.43,567.17,13261.559999999998
2023-02-05,Nordeste,Mouse,14,3684.04,2135.6,21678.16
2023-02-05,Sudeste,Monitor,11,2827.21,1956.92,9573.189999999999
2023-02-05,Sul,Monitor,13,3003.36,753.33,29250.390000000003
2023-02-05,Sul,Teclado,14,1319.78,186.44,15866.759999999998
2023-02-06,Norte,Mouse,2,4831.67,282.21,9098.92
2023-02-06,Norte,Monitor,16,4429.39,1104.14,53204.0
2023-02-06,Sul,Mouse,11,3774.74,2257.13,16693.709999999995
2023-02-06,Sul,Fone de Ouvido,7,2780.69,892.25,13219.08
2023-02-06,Centro-Oeste,Monitor,14,3459.82,1687.24,24816.120000000003
2023-02-06,Nordeste,Mouse,10,628.51,113.85,5146.599999999999
2023-02-06,Sudeste,Carregador,13,1249.07,391.21,11152.179999999998
2023-02-06,Nordeste,Carregador,9,1772.98,596.62,10587.240000000002
2023-02-06,Sul,Smartphone,4,3416.28,2239.66,4706.480000000001
2023-02-06,Sul,Notebook,5,4949.38,222.61,23633.850000000002
2023-02-07,Centro-Oeste,Monitor,15,4549.54,2680.7,28032.600000000002
2023-02-07,Nordeste,Fone de Ouvido,2,4693.69,1324.41,6738.5599999999995
2023-02-07,Centro-Oeste,Carregador,19,2375.55,834.73,29275.58
2023-02-07,Sudeste,Fone de Ouvido,11,1627.58,649.56,10758.22
2023-02-07,Sudeste,Monitor,5,3457.69,275.49,15911.0
2023-02-07,Norte,Notebook,7,3698.58,1328.15,16593.01
2023-02-08,Centro-Oeste,Notebook,1,1501.67,567.9,933.7700000000001
2023-02-08,Norte,Monitor,19,3784.63,2242.43,29301.800000000007
2023-02-08,Centro-Oeste,Mouse,7,4154.52,977.56,22238.720000000005
2023-02-08,Centro-Oeste,Fone de Ouvido,2,741.53,572.52,338.02
2023-02-08,Nordeste,Mouse,11,3387.45,1746.28,18052.87
2023-02-09,Norte,Smartphone,7,2134.3,1538.98,4167.240000000002
2023-02-09,Sul,Carregador,7,164.34,148.11,113.60999999999993
2023-02-09,Norte,Smartphone,19,3490.44,2562.83,17624.590000000004
2023-02-09,Sudeste,Carregador,7,2739.27,2389.2,2450.490000000001
2023-02-09,Nordeste,Smartphone,5,2793.26,411.0,11911.300000000001
2023-02-10,Centro-Oeste,Carregador,13,4447.34,940.89,45583.850000000006
2023-02-10,Nordeste,Fone de Ouvido,15,1721.4,1226.6,7422.000000000003
2023-02-10,Sudeste,Teclado,6,2034.65,631.42,8419.380000000001
2023-02-10,Sul,Monitor,8,2632.85,739.88,15143.759999999998
2023-02-10,Nordeste,Fone de Ouvido,4,3386.41,643.45,10971.84
2023-02-10,Nordeste,Carregador,7,4609.73,163.63,31122.699999999997
2023-02-10,Sudeste,Fone de Ouvido,12,2820.09,253.32,30801.239999999998
2023-02-10,Nordeste,Teclado,10,1625.66,638.59,9870.7
2023-02-10,Sudeste,Teclado,10,4517.49,818.26,36992.299999999996
2023-02-10,Centro-Oeste,Smartphone,3,1996.75,1650.41,1039.0199999999998
2023-02-10,Norte,Carregador,6,1443.79,708.08,4414.259999999999
2023-02-11,Nordeste,Carregador,3,3210.47,490.05,8161.259999999998
2023-02-11,Centro-Oeste,Teclado,9,4717.7,1386.12,29984.22
2023-02-11,Sudeste,Teclado,17,3938.18,695.13,55131.85
2023-02-11,Sul,Smartphone,18,2873.73,2532.2,6147.540000000004
2023-02-11,Sudeste,Carregador,1,4688.2,1793.81,2894.39
2023-02-12,Sul,Fone de Ouvido,13,3726.81,1559.8,28171.130000000005
2023-02-12,Centro-Oeste,Monitor,13,3242.91,1587.9,21515.129999999997
2023-02-12,Sudeste,Smartphone,2,2021.64,1413.9,1215.48
2023-02-12,Sudeste,Mouse,19,2661.22,1482.31,22399.289999999997
2023-02-13,Nordeste,Fone de Ouvido,15,3712.34,1827.57,28271.550000000003
2023-02-14,Sul,Monitor,19,1242.75,456.72,14934.57
2023-02-14,Norte,Teclado,12,896.75,151.4,8944.2
2023-02-15,Sudeste,Teclado,16,2707.66,2410.32,4757.439999999995
2023-02-15,Nordeste,Monitor,10,2184.44,864.02,13204.2
2023-02-15,Sul,Smartphone,7,3123.68,1373.95,12248.109999999999
2023-02-15,Norte,Notebook,13,2036.67,621.7,18394.61
2023-02-15,Centro-Oeste,Mouse,3,2179.42,326.31,5559.33
2023-02-16,Norte,Fone de Ouvido,18,1747.45,716.04,18565.38
2023-02-16,Centro-Oeste,Mouse,1,4467.18,1167.64,3299.54
2023-02-16,Sudeste,Mouse,4,3509.49,981.15,10113.359999999999
2023-02-16,Nordeste,Carregador,19,2881.13,2351.38,10065.25
2023-02-16,Centro-Oeste,Teclado,3,571.2,431.84,418.0800000000002
2023-02-16,Centro-Oeste,Smartphone,15,3161.92,2078.05,16258.05
2023-02-17,Sul,Teclado,15,4641.79,1018.72,54346.049999999996
2023-02-17,Centro-Oeste,Teclado,12,3125.63,435.6,32280.36
2023-02-17,Sul,Smartphone,15,814.35,275.73,8079.3
2023-02-17,Centro-Oeste,Carregador,15,2857.46,58.46,41985.0
2023-02-17,Sul,Carregador,4,2118.22,438.88,6717.359999999999
2023-02-17,Sudeste,Mouse,12,4484.48,1481.96,36030.23999999999
2023-02-17,Norte,Notebook,8,1392.54,137.8,10037.92
2023-02-17,Norte,Mouse,3,4624.21,2660.59,5890.86
2023-02-18,Sudeste,Fone de Ouvido,5,4805.66,1772.08,15167.9
2023-02-18,Sul,Smartphone,11,975.02,222.17,8281.35
2023-02-18,Sul,Fone de Ouvido,2,1711.75,1333.84,755.8200000000002
2023-02-18,Nordeste,Teclado,1,2682.86,1379.32,1303.5400000000002
2023-02-18,Centro-Oeste,Mouse,18,3617.31,2897.36,12959.099999999997
2023-02-19,Nordeste,Mouse,9,3315.74,1659.64,14904.899999999998
2023-02-19,Nordeste,Fone de Ouvido,9,3655.39,294.14,30251.25
2023-02-19,Sudeste,Teclado,17,3807.31,864.73,50023.86
2023-02-19,Norte,Smartphone,19,3482.89,2998.46,9204.169999999996
2023-02-19,Centro-Oeste,Carregador,7,3039.89,1994.71,7316.259999999998
2023-02-19,Centro-Oeste,Smartphone,15,900.07,270.4,9445.050000000001
2023-02-19,Sul,Fone de Ouvido,10,2494.76,2396.35,984.1000000000031
2023-02-19,Sudeste,Teclado,14,2967.44,260.9,37891.56
2023-02-20,Norte,Mouse,15,4662.54,2856.77,27086.55
2023-02-20,Sudeste,Fone de Ouvido,8,3972.81,2510.62,11697.52
2023-02-20,Sudeste,Smartphone,16,4951.68,1461.82,55837.76000000001
2023-02-20,Nordeste,Teclado,1,2233.12,426.16,1806.9599999999998
2023-02-20,Norte,Carregador,10,1495.63,1007.42,4882.100000000001
2023-02-21,Sul,Teclado,2,2209.56,275.71,3867.7
2023-02-21,Centro-Oeste,Teclado,9,3694.71,1096.7,23382.090000000004
2023-02-21,Norte,Monitor,15,4642.18,690.67,59272.65
2023-02-21,Sudeste,Monitor,14,4303.59,977.64,46563.3
2023-02-21,Norte,Fone de Ouvido,10,4853.4,541.25,43121.5
2023-02-22,Centro-Oeste,Monitor,19,2989.3,1258.44,32886.340000000004
2023-02-22,Centro-Oeste,Fone de Ouvido,14,416.58,158.21,3617.1800000000003
2023-02-22,Nordeste,Teclado,10,3887.73,2452.61,14351.199999999999
2023-02-22,Sul,Monitor,2,2121.53,432.14,3378.7800000000007
2023-02-22,Sul,Smartphone,5,4641.83,1293.71,16740.6
2023-02-22,Nordeste,Mouse,19,3371.9,1904.25,27885.350000000002
2023-02-22,Sudeste,Fone de Ouvido,14,1970.74,1109.1,12062.960000000001
2023-02-23,Centro-Oeste,Teclado,16,4986.16,951.41,64556.0
2023-02-23,Sudeste,Monitor,14,4105.71,2460.46,23033.5
2023-02-23,Norte,Fone de Ouvido,9,4401.95,2711.31,15215.759999999998
2023-02-23,Sul,Carregador,4,4476.96,2597.06,7519.6
2023-02-24,Sudeste,Mouse,16,4216.44,2016.09,35205.59999999999
2023-02-24,Nordeste,Notebook,15,4504.47,433.14,61069.950000000004
2023-02-25,Sudeste,Carregador,4,4758.17,1519.07,12956.400000000001
2023-02-25,Sul,Smartphone,11,3681.11,1124.74,28120.07
2023-02-25,Norte,Carregador,10,3301.68,2482.7,8189.8
2023-02-25,Sudeste,Mouse,8,1268.63,304.43,7713.6
2023-02-25,Centro-Oeste,Fone de Ouvido,18,3699.38,1027.47,48094.38
2023-02-25,Nordeste,Teclado,15,3248.95,2721.14,7917.15
2023-02-25,Nordeste,Teclado,16,4746.54,1385.46,53777.28
2023-02-26,Norte,Smartphone,16,2873.36,1112.38,28175.68
2023-02-26,Sul,Teclado,18,3802.46,517.14,59135.76
2023-02-26,Sudeste,Fone de Ouvido,14,3211.29,2029.09,16550.8
2023-02-27,Centro-Oeste,Notebook,8,2774.0,763.5,16084.0
2023-02-27,Nordeste,Teclado,1,2578.03,785.91,1792.1200000000003
2023-02-27,Norte,Carregador,19,136.47,128.89,144.02000000000024
2023-02-27,Norte,Smartphone,5,4902.91,334.34,22842.85
2023-02-27,Sudeste,Monitor,6,2711.15,2638.23,437.52000000000044
2023-02-27,Sudeste,Smartphone,14,2849.88,1632.63,17041.5
2023-02-27,Norte,Carregador,7,1775.97,75.04,11906.51
2023-02-28,Sudeste,Monitor,14,1892.33,977.82,12803.139999999998
2023-02-28,Sudeste,Mouse,1,3380.23,438.36,2941.87
2023-02-28,Sul,Mouse,11,4190.14,1951.1,24629.440000000006
2023-02-28,Centro-Oeste,Mouse,10,1827.91,832.48,9954.300000000001
2023-02-28,Sul,Notebook,1,4628.17,2437.54,2190.63
2023-02-28,Nordeste,Mouse,4,1863.33,517.33,5384.0
2023-03-01,Nordeste,Smartphone,7,2705.43,2083.3,4354.909999999998
2023-03-01,Norte,Monitor,10,3108.19,2105.86,10023.3
2023-03-01,Norte,Fone de Ouvido,16,3350.84,1232.35,33895.840000000004
2023-03-01,Nordeste,Mouse,11,2903.75,2826.56,849.0900000000006
2023-03-02,Sudeste,Teclado,18,3182.01,2513.32,12036.420000000002
2023-03-02,Centro-Oeste,Mouse,15,3112.5,2262.09,12756.149999999998
2023-03-02,Sul,Mouse,1,4440.19,2819.41,1620.7799999999997
2023-03-02,Nordeste,Monitor,2,3098.73,1544.99,3107.48
2023-03-02,Sul,Fone de Ouvido,9,4374.29,1599.55,24972.659999999996
2023-03-02,Norte,Smartphone,13,2586.54,1763.71,10696.789999999999
2023-03-03,Centro-Oeste,Monitor,3,3518.86,849.04,8009.460000000001
2023-03-03,Nordeste,Teclado,16,2885.79,1745.28,18248.16
2023-03-03,Centro-Oeste,Mouse,4,3957.8,511.07,13786.92
2023-03-03,Nordeste,Teclado,14,3453.53,341.33,43570.8
2023-03-03,Sul,Notebook,15,3960.41,2636.16,19863.75
2023-03-04,Centro-Oeste,Mouse,8,3414.37,426.58,23902.32
2023-03-04,Norte,Fone de Ouvido,16,2608.91,2132.36,7624.799999999996
2023-03-04,Sudeste,Monitor,5,1940.75,280.88,8299.349999999999
2023-03-04,Sudeste,Fone de Ouvido,10,3884.02,1337.66,25463.6
2023-03-04,Sul,Smartphone,7,1201.53,938.32,1842.4699999999993
2023-03-04,Centro-Oeste,Carregador,13,2558.11,2308.54,3244.410000000002
2023-03-04,Sudeste,Notebook,19,4514.91,268.25,80686.54
2023-03-05,Sudeste,Carregador,15,4712.7,2754.37,29374.949999999997
2023-03-05,Norte,Monitor,16,2418.53,1889.98,8456.800000000003
2023-03-05,Norte,Fone de Ouvido,12,1723.63,269.13,17454.0
2023-03-05,Nordeste,Carregador,9,1202.68,55.31,10326.330000000002
2023-03-05,Sul,Monitor,6,1532.09,1242.13,1739.7599999999989
2023-03-05,Centro-Oeste,Notebook,2,3940.04,1918.14,4043.7999999999997
2023-03-05,Nordeste,Carregador,16,3794.41,2500.78,20698.079999999994
2023-03-06,Nordeste,Notebook,5,4182.59,391.1,18957.45
2023-03-06,Nordeste,Smartphone,17,4949.71,592.69,74069.34000000001
2023-03-07,Centro-Oeste,Teclado,4,2761.67,1937.14,3298.12
2023-03-07,Centro-Oeste,Notebook,11,3002.41,1186.1,19979.41
2023-03-07,Sul,Fone de Ouvido,18,4258.54,2712.36,27831.239999999998
2023-03-07,Nordeste,Teclado,18,2369.26,1802.43,10202.940000000002
2023-03-07,Norte,Teclado,6,3966.24,1351.07,15691.02
2023-03-07,Nordeste,Smartphone,2,4905.54,2661.12,4488.84
2023-03-07,Sudeste,Mouse,17,4090.86,1434.06,45165.600000000006
2023-03-07,Centro-Oeste,Carregador,4,1684.55,1197.05,1950.0
2023-03-07,Centro-Oeste,Carregador,14,2489.48,139.45,32900.420000000006
2023-03-07,Sul,Mouse,15,1274.14,999.9,4113.600000000002
2023-03-07,Centro-Oeste,Teclado,1,2994.37,2091.0,903.3699999999999
2023-03-08,Nordeste,Fone de Ouvido,18,2483.98,738.12,31425.480000000003
2023-03-08,Sudeste,Smartphone,10,3768.66,2573.09,11955.699999999997
2023-03-08,Nordeste,Notebook,17,2955.25,2373.77,9885.16
2023-03-09,Nordeste,Smartphone,12,3683.32,1970.7,20551.440000000002
2023-03-09,Norte,Teclado,11,1971.08,651.76,14512.519999999999
2023-03-09,Norte,Teclado,3,4141.45,2206.92,5803.589999999999
2023-03-09,Sudeste,Monitor,9,4727.58,2153.64,23165.46
2023-03-10,Nordeste,Fone de Ouvido,7,3098.09,1560.2,10765.230000000001
2023-03-10,Norte,Notebook,18,4773.07,1078.65,66499.56
2023-03-10,Nordeste,Monitor,5,4454.3,1896.96,12786.7
2023-03-11,Norte,Monitor,8,4001.1,2966.42,8277.439999999999
2023-03-11,Norte,Monitor,16,544.44,290.28,4066.5600000000013
2023-03-11,Centro-Oeste,Monitor,10,2078.74,1094.24,9844.999999999998
2023-03-11,Sudeste,Carregador,1,4474.25,2376.23,2098.02
2023-03-11,Norte,Monitor,13,3605.45,393.37,41757.04
2023-03-11,Sul,Notebook,12,3174.88,757.05,29013.96
2023-03-12,Norte,Monitor,16,1105.41,634.38,7536.480000000001
2023-03-13,Nordeste,Mouse,1,4602.13,2648.19,1953.94
2023-03-13,Centro-Oeste,Mouse,10,4192.28,2063.93,21283.5
2023-03-13,Sul,Mouse,18,4803.02,2961.65,33144.66
2023-03-13,Norte,Notebook,11,3482.63,2330.17,12677.060000000001
2023-03-14,Norte,Teclado,18,3193.02,2602.36,10631.879999999997
2023-03-14,Sudeste,Teclado,9,1164.2,277.31,7982.010000000001
2023-03-15,Centro-Oeste,Monitor,13,3219.29,739.39,32238.7
2023-03-15,Centro-Oeste,Monitor,3,3145.15,1816.43,3986.16
2023-03-15,Sudeste,Notebook,15,1194.62,723.29,7069.949999999999
2023-03-15,Norte,Carregador,7,1185.59,237.34,6637.749999999999
2023-03-15,Sudeste,Carregador,14,2806.89,1872.4,13082.859999999997
2023-03-15,Nordeste,Smartphone,11,1685.21,837.65,9323.16
2023-03-16,Nordeste,Monitor,16,4742.29,2181.42,40973.92
2023-03-16,Centro-Oeste,Monitor,16,4234.42,1783.81,39209.76
2023-03-16,Nordeste,Teclado,17,1590.47,1068.32,8876.550000000001
